category,question,answer
常見問答集,Q11.一般機關單位或公司行號該如何運用電子戶籍謄本呢？,民眾申辦業務如需繳附戶籍謄本紙本，可使用電子戶籍謄本取代；機關單位或公司行號，只需自備一般的個人電腦（須安裝PDF文件閱讀軟體），並依「戶政網路申辦服務作業說明」之「電子戶籍謄本申請及驗證程序說明」辦理。
常見問答集,Q12.國民身分證遺失應如何申請掛失？,一、為防止不法人士拾獲民眾遺失國民身分證，從事不法行為情事發生並為減輕當事人對國民身分證遭冒用之焦慮與不安，國民身分證遺失時，請立即辦理掛失國民身分證。二、有關辦理國民身分證掛失，目前有4種申請方式：於上班時間親自至任一戶政事務所或以電話向任一戶政事務所辦理掛失國民身分證。持有自然人憑證者，請至「內政部戶政司全球資訊網」-「國民身分證專區」-「國民身分證掛失暨撤銷掛失申請作業（使用自然人憑證）」（網址https://www.ris.gov.tw/app/portal/3012）辦理掛失國民身分證（24小時服務）。有關自然人憑證之申請資訊，請參閱內政部憑證管理中心網站（http://moica.nat.gov.tw）。於上班時間或非上班時間撥打1996內政服務熱線辦理掛失國民身分證。如人在國外請撥打國際電話886-2-81958151。至「內政部戶政司全球資訊網」-「國民身分證專區」-「國民身分證掛失暨撤銷掛失申請作業（免自然人憑證）」（網址https://www.ris.gov.tw/app/portal/3013）辦理掛失國民身分證（24小時服務）。於上班時間親自至任一戶政事務所或以電話向任一戶政事務所辦理掛失國民身分證。持有自然人憑證者，請至「內政部戶政司全球資訊網」-「國民身分證專區」-「國民身分證掛失暨撤銷掛失申請作業（使用自然人憑證）」（網址https://www.ris.gov.tw/app/portal/3012）辦理掛失國民身分證（24小時服務）。有關自然人憑證之申請資訊，請參閱內政部憑證管理中心網站（http://moica.nat.gov.tw）。於上班時間或非上班時間撥打1996內政服務熱線辦理掛失國民身分證。如人在國外請撥打國際電話886-2-81958151。至「內政部戶政司全球資訊網」-「國民身分證專區」-「國民身分證掛失暨撤銷掛失申請作業（免自然人憑證）」（網址https://www.ris.gov.tw/app/portal/3013）辦理掛失國民身分證（24小時服務）。三、 辦理掛失後，掛失紀錄會上傳至「內政部戶政司全球資訊網－國民身分證領補換資料查詢作業系統」，提供金融機構及社會各界上網查證，以免遭不法人士冒用。請儘速親自辦理補發新證，遺失之舊證始失其效力。
常見問答集,Q13.目前承認同性婚姻合法之國家或地區為何？(What country or jurisdiction has been legally performed and recognized Same-sex marriage ?),"目前中華民國、阿根廷、澳洲、奧地利、比利時、巴西、加拿大、哥倫比亞、丹麥、芬蘭、法國、德國、冰島、愛爾蘭、盧森堡、馬爾他、墨西哥、荷蘭、紐西蘭、挪威、葡萄牙、南非、西班牙、瑞典、英國、美國、烏拉圭、厄瓜多、哥斯大黎加、瑞士、智利、斯洛維尼亞、古巴、安道爾等34個國家或地區承認同性婚姻合法。(Same-sex marriage was legally performed and recognized in 34 countries (nationwide or in some jurisdictions):Argentina, Australia, Austria, Belgium, Brazil, Canada, Colombia, Costa Rica, Denmark, Ecuador, Finland, France, Germany, Iceland, Ireland, Luxembourg, Malta, Mexico, Netherlands, New Zealand, Norway, Portugal, R.O.C (Taiwan), South Africa, Spain, Sweden, United Kingdom, United States, Uruguay, Switzerland, Chile, Slovenia, Cuba, Andorra.)"
常見問答集,Q14.同性結婚者為繼親收養後，渠等之未成年子女權利義務將由誰行使負擔？,同性結婚者，例如甲乙2位女性依司法院釋字第七四八號施行法第20條規定，於結婚登記後，甲女得收養乙女之親生子女，該子女之雙親欄記載「母、養母」，渠等之收養關係準用民法第1077條第2項規定，乙女與其親生子女之權利義務，不因甲女之收養而影響，倘該子女未成年，其權利義務行使由甲乙共同行使負擔。
登記婚問答集,Q01.民法由儀式婚改為登記婚之修法意旨為何？,一、按法務部95年4月3日法律字第0950700257號書函略以，「我國民法自民國20年施行以來，即採儀式婚主義，惟因儀式婚存在有若干之缺失及問題，包括：儀式婚公示效果薄弱，無法防止重婚及保護善意第三人。儀式婚之規定，適用上欠缺明確之認定標準，易生爭執，致影響身分關係之安定。結婚採儀式婚，離婚採登記主義，兩者不能配合，徒增困擾等缺失。準此，法務部經參酌先進國家之立法例審慎評估後，修正民法第982條規定，改採登記婚主義，除因登記係藉由國家機關之參與，具公示作用，可解決因儀式婚公示效果薄弱及適用有欠明確所造成重婚之虞外，並能與現行離婚制度相配合，以避免結婚未登記者，於離婚時須辦理結婚登記始能接續辦理離婚之困擾與矛盾。」儀式婚公示效果薄弱，無法防止重婚及保護善意第三人。儀式婚之規定，適用上欠缺明確之認定標準，易生爭執，致影響身分關係之安定。結婚採儀式婚，離婚採登記主義，兩者不能配合，徒增困擾等缺失。二、按民法第982條規定：「結婚應以書面為之，有2人以上證人之簽名，並應由雙方當事人向戶政機關為結婚之登記。」次按法務部 97年3月12日法律字第0970007661號函略以，民法第982條登記婚之規定，係以結婚登記為結婚之形式要件，是以結婚登記之生效時期係以戶政機關辦妥結婚登記時發生效力為宜，其結婚生效日期應以辦妥結婚登記日為準。97年5月23日起，結婚雙方當事人在國內辦理結婚登記者，結婚生效日即為結婚登記日。
登記婚問答題,Q02.97年5月23日前或以後辦理的儀式婚還有效力嗎？,一、登記婚自97年5月23日施行，惟於97年5月22日（包括97年5月22日當日）以前已有效成立之儀式婚，亦即結婚仍以公開儀式及2人以上證人為要件，縱未辦理結婚登記，仍屬有效。二、自97年5月23日起，結婚以辦妥結婚登記為生效要件，準此，結婚生效日即為結婚登記日。如結婚當事人已舉行結婚儀式，卻未向戶政事務所辦理登記，結婚仍不生效力。又民法982條採行登記婚，惟並未「禁止」民間辦理結婚儀式。如因個人需要或習俗考量，仍可以自行舉辦儀式，但應依上開民法規定向戶政事務所辦理結婚登記始生效力。
登記婚問答題,Q03.結婚登記日是否必須與結婚儀式同一日？,民法第982條登記婚規定，結婚儀式與結婚是否生效無關，應以向戶政事務所辦妥結婚登記日為結婚生效日。為確保個人權益，結婚當事人可先辦登記再依個人需求或習俗舉行宴客儀式。
登記婚問答題,Q04.如果在例假日辦理結婚登記，應如何辦理？ 可以提前辦理嗎？,預約例假日辦理結婚登記，因涉及地方政府人力、財政負擔，且目前已提供登記日前3個辦公日內辦理指定結婚登記日之措施、民眾可至任一戶政事務所辦理結婚登記、部分戶政事務所提供彈性上班之便民服務，爰是否提供例假日辦理結婚登記服務，由各地方政府自行決定。請逕洽欲前往申請之戶政事務所詢問是否有提供該項服務。
登記婚問答題,Q05.97年5月23日起各直轄市、縣（市）政府舉辦之聯合婚禮或法院公證結婚有無效力？,97年5月23日以後辦理如結婚喜宴、宗教婚禮、法院公證結婚及政府機關主辦之集團結婚等，如未向戶政事務所辦理結婚登記，婚姻仍不生法律效力。
登記婚問答題,Q06.國人在國外結婚，其生效日期是否以結婚登記日期為準？,依涉外民事法律適用法第46條規定，婚姻之成立，依各該當事人之本國法。但結婚之方式依當事人一方之本國法或依舉行地法者，亦為有效。結婚之方式，當事人一方為中華民國國民，並在中華民國舉行者，依中華民國法律。如結婚雙方當事人在國外結婚，其結婚已生效者，依國外結婚生效日為準。
登記婚問答題,Q07.結婚登記之申請人為何？,依民法第982條規定，結婚應以書面為之，有2人以上證人之簽名，並應由雙方當事人向戶政機關為結婚之登記。另依戶籍法第33條第1項規定，結婚登記，以雙方當事人為申請人。但於中華民國97年5月22日以前（包括97年5月22日當日）結婚，或其結婚已生效者，得以當事人之一方為申請人。
登記婚問答題,Q08.結婚登記應向何地之戶政事務所申請？,結婚當事人應依下列規定向戶政事務所辦理結婚登記：雙方或一方在國內現有或曾設戶籍者，在國內結婚，得向任一戶政事務所辦理。雙方或一方在國內現有或曾設戶籍者，在國外結婚，得檢具相關文件，向我國駐外使領館、代表處、辦事處（以下簡稱駐外館處）或行政院於香港、澳門設立或指定之機構或委託之民間團體申請，經驗證後函轉戶籍地或原戶籍地戶政事務所，或親自向任一戶政事務所辦理結婚登記。雙方在國內未曾設戶籍者，在國內結婚，得向任一戶政事務所為之。但在國外結婚，得檢具相關文件，向駐外館處或行政院於香港、澳門設立或指定之機構或委託之民間團體申請，經驗證後函轉中央主管機關指定之中央政府所在地戶政事務所或親自向任一戶政事務所辦理結婚登記。雙方或一方在國內現有或曾設戶籍者，在國內結婚，得向任一戶政事務所辦理。雙方或一方在國內現有或曾設戶籍者，在國外結婚，得檢具相關文件，向我國駐外使領館、代表處、辦事處（以下簡稱駐外館處）或行政院於香港、澳門設立或指定之機構或委託之民間團體申請，經驗證後函轉戶籍地或原戶籍地戶政事務所，或親自向任一戶政事務所辦理結婚登記。雙方在國內未曾設戶籍者，在國內結婚，得向任一戶政事務所為之。但在國外結婚，得檢具相關文件，向駐外館處或行政院於香港、澳門設立或指定之機構或委託之民間團體申請，經驗證後函轉中央主管機關指定之中央政府所在地戶政事務所或親自向任一戶政事務所辦理結婚登記。
登記婚問答題,Q09.辦理結婚登記應攜帶證件為何？,一、共同應備文件（均須攜帶正本）為：雙方身分證明文件（國人為國民身分證；外國人為護照、居留證或入出國許可證；大陸地區人民為經本部移民署加蓋「通過面談，請憑辦理結婚登記」章戳之臺灣地區入出國許可證）。國人戶口名簿。國人最近2年內拍攝之符合規格相片1張或數位相片， 換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定（國民身分證相片規格可至內政部戶政司全球資訊網-民身分證相片規格查詢，繳交數位相片者請至內政部戶政司全球資訊網 → 網路申辦服務 → 國民身分證 → 國民身分證影像上傳上傳數位相片）。印章（可簽名）。雙方身分證明文件（國人為國民身分證；外國人為護照、居留證或入出國許可證；大陸地區人民為經本部移民署加蓋「通過面談，請憑辦理結婚登記」章戳之臺灣地區入出國許可證）。國人戶口名簿。國人最近2年內拍攝之符合規格相片1張或數位相片， 換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定（國民身分證相片規格可至內政部戶政司全球資訊網-民身分證相片規格查詢，繳交數位相片者請至內政部戶政司全球資訊網 → 網路申辦服務 → 國民身分證 → 國民身分證影像上傳上傳數位相片）。印章（可簽名）。二、其他應備文件（均須攜帶正本）及程序：雙方皆為國人在國內結婚，須攜帶結婚書約（應載有2名證人之簽名等相關資料），由雙方親自至任一戶政事務所辦理結婚登記；在國外已辦妥結婚者，請攜帶經駐外館處驗證之結婚證明文件（須同時檢附經驗證或國內公證人認證之中文譯本），由一方或雙方當事人親自至任一戶政事務所或由駐外館處函轉辦理結婚登記。國人與大陸地區人民在國內結婚，須先向大陸地區主管機關辦理登記結婚，並申請結婚公證書，向財團法人海峽交流基金會（下稱海基會）辦理文件驗證及向本部移民署申請面談，面談通過後，再攜帶經海基會驗證之結婚證明文件，由一方或雙方當事人親自至任一戶政事務所辦理結婚登記。國人與外交部所定之特定國家人士（如越南、緬甸等）在國內結婚，須先至該外籍配偶之原屬國完成結婚登記，持憑結婚文件向我國駐外館處申請面談及驗證結婚文件，面談通過後，再攜帶經駐外館處驗證之結婚證明文件及中文譯本、外籍配偶取用中文姓名聲明書，由一方或雙方當事人親自至任一戶政事務所辦理結婚登記。國人與持有本部移民署依法核發永久居留證之特定國家人士或特定國家以外之外國人在國內結婚，請攜帶結婚書約（應載有2名證人之簽名等相關資料）、外籍配偶取用中文姓名聲明書、經駐外館處驗證之婚姻狀況證明文件及中文譯本，由雙方親至任一戶政事務所辦理結婚登記；在國外已辦妥結婚者，請攜帶經駐外館處驗證之結婚證明文件（須同時檢附經驗證或國內公證人認證之中文譯本）及外籍配偶取用中文姓名聲明書（如外籍配偶親至戶政事務所填寫，無須經駐外館處驗證），由一方或雙方當事人親自至任一戶政事務所或由駐外館處函轉辦理結婚登記。雙方皆為國人在國內結婚，須攜帶結婚書約（應載有2名證人之簽名等相關資料），由雙方親自至任一戶政事務所辦理結婚登記；在國外已辦妥結婚者，請攜帶經駐外館處驗證之結婚證明文件（須同時檢附經驗證或國內公證人認證之中文譯本），由一方或雙方當事人親自至任一戶政事務所或由駐外館處函轉辦理結婚登記。國人與大陸地區人民在國內結婚，須先向大陸地區主管機關辦理登記結婚，並申請結婚公證書，向財團法人海峽交流基金會（下稱海基會）辦理文件驗證及向本部移民署申請面談，面談通過後，再攜帶經海基會驗證之結婚證明文件，由一方或雙方當事人親自至任一戶政事務所辦理結婚登記。國人與外交部所定之特定國家人士（如越南、緬甸等）在國內結婚，須先至該外籍配偶之原屬國完成結婚登記，持憑結婚文件向我國駐外館處申請面談及驗證結婚文件，面談通過後，再攜帶經駐外館處驗證之結婚證明文件及中文譯本、外籍配偶取用中文姓名聲明書，由一方或雙方當事人親自至任一戶政事務所辦理結婚登記。國人與持有本部移民署依法核發永久居留證之特定國家人士或特定國家以外之外國人在國內結婚，請攜帶結婚書約（應載有2名證人之簽名等相關資料）、外籍配偶取用中文姓名聲明書、經駐外館處驗證之婚姻狀況證明文件及中文譯本，由雙方親至任一戶政事務所辦理結婚登記；在國外已辦妥結婚者，請攜帶經駐外館處驗證之結婚證明文件（須同時檢附經驗證或國內公證人認證之中文譯本）及外籍配偶取用中文姓名聲明書（如外籍配偶親至戶政事務所填寫，無須經駐外館處驗證），由一方或雙方當事人親自至任一戶政事務所或由駐外館處函轉辦理結婚登記。
登記婚問答題,Q10.辦理結婚登記需要繳交規費嗎？,按戶政事務所辦理任何戶籍登記，包括結婚登記均無須繳交規費。但因辦理結婚登記致須換領國民身分證及戶口名簿應各繳納新臺幣50元（1張）及30元（1份），另如須申請結婚證明書，應繳納新臺幣100元。
登記婚問答題,Q11.97年5月23日起辦理結婚登記後，可否申請核發結婚證明書以為婚姻狀況證明文件？,一、結婚當事人申辦結婚登記完竣，得由申請人繳納規費後，向戶政事務所申請核發（中、英文）結婚證明書。結婚當事人嗣後申請（中、英文）結婚證明書者，得向任一戶政事務所申請核發。二、申請結婚證明書得委託他人辦理。委託他人辦理者，應攜帶委託書及受委託人（即委託書所載之被委託人）之身分證明文件正本、印章（或簽名）。在國外作成之委託書，應經我駐外館處驗證；在大陸地區或香港、澳門作成之委任書，應經行政院設立或指定之機構或委託之民間團體驗證。三、97年5月22日以前結婚並已向戶政事務所辦妥結婚登記之當事人，得向任一戶政事務所申請核發結婚證明書（中、英文）或向原辦理結婚登記之戶政事務所申請核發結婚證明文件影本。四、另結婚當事人亦得向任一戶政事務所申請載有結婚登記記事之戶籍謄本（中、英文），據以證明。
登記婚問答題,Q12.未成年人可否辦理結婚登記？,依民法第12條規定，滿18歲為成年。民法第980條規定，男女未滿18歲者，不得結婚。準此，未成年人不得辦理結婚登記。
登記婚問答題,Q13.因重病住院醫療或在矯正機關收容的特殊情況結婚當事人，如何辦理結婚登記？,結婚當事人如有重病住院醫療、在家療養或矯正機關收容之特殊情事，無法親自至戶政事務所辦理結婚登記者，得向醫療機構、結婚當事人居住地或矯正機關所在地之戶政事務所申請預約登記期日，該戶政事務所得於該日派員至指定地點，於結婚當事人表達其結婚意思後，攜回結婚書面相關文件，當日辦妥結婚登記。如結婚當事人係向其他戶政事務所申請結婚登記，受理地戶政事務所得商請醫療機構、結婚當事人居住地或矯正機關所在地之戶政事務所協助查實，協助查實之戶政事務所應當日傳送相關文件予受理地戶政事務所辦理結婚登記，並於3日內將相關文件正本函復受理地戶政事務所歸檔。
登記婚問答題,Q14.逕為遷至戶政事務所地址之人口申請結婚登記，應如何辦理？,戶籍經逕遷戶政事務所者，其辦理戶籍案件時，戶政事務所應辦理相關作業如下： 民眾申請戶籍案件，受理地戶政事務所應請其據實填寫「逕遷戶政事務所人口辦理戶籍登記案件調查與資料傳真單」，並依法核處當事人戶籍案件申請事宜。 傳真單傳真當事人現住地戶政事務所。 現住地戶政事務所回傳傳真單確認收訖。 現住地戶政事務所依戶籍法第17條、第48條與行政法院56年判字第60號判例規定，核處當事人遷徙事宜。 當事人現場不願填寫現住地址者，如無正當理由拒絕提供時，得依戶籍法第77條規定處以罰鍰。民眾申請戶籍案件，受理地戶政事務所應請其據實填寫「逕遷戶政事務所人口辦理戶籍登記案件調查與資料傳真單」，並依法核處當事人戶籍案件申請事宜。傳真單傳真當事人現住地戶政事務所。現住地戶政事務所回傳傳真單確認收訖。現住地戶政事務所依戶籍法第17條、第48條與行政法院56年判字第60號判例規定，核處當事人遷徙事宜。當事人現場不願填寫現住地址者，如無正當理由拒絕提供時，得依戶籍法第77條規定處以罰鍰。
